"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID26""}","{""ImportId"":""QID2""}","{""ImportId"":""QID13""}","{""ImportId"":""QID17""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID22""}","{""ImportId"":""QID3""}","{""ImportId"":""QID14""}","{""ImportId"":""QID16""}","{""ImportId"":""QID18""}","{""ImportId"":""QID23""}","{""ImportId"":""QID25""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}"
2020-06-11 10:20:37,2020-06-11 10:22:31,IP Address,176.55.181.39,100,114,True,2020-06-11 10:22:32,R_DTMWnHOAZKVGlup,,,,,41.0019073486328125,28.9644927978515625,anonymous,EN,1,5,2,3,2,1,2,,,,,,,18 - 24,Female,Urban area,No
2020-06-11 11:31:44,2020-06-11 11:32:44,IP Address,141.84.69.72,100,60,True,2020-06-11 11:32:45,R_3M0xiLeWddWghSQ,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,1,1,1,1,1,1,1,,,,,,,25 - 34,Female,Urban area,Yes
2020-06-11 12:11:25,2020-06-11 12:13:38,IP Address,157.38.116.28,100,133,True,2020-06-11 12:13:38,R_3ltpu65FKyHa42A,,,,,30.9145965576171875,75.8542938232421875,anonymous,EN,1,1,1,1,1,1,1,,,,,,,25 - 34,Male,Urban area,No
2020-06-11 13:46:01,2020-06-11 13:47:16,IP Address,88.215.114.247,100,75,True,2020-06-11 13:47:16,R_2cebQbPXJcvcplq,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,2,2,2,1,3,1,1,,,,,,,18 - 24,Female,Rural area,No
2020-06-11 13:47:23,2020-06-11 13:51:43,IP Address,93.104.20.213,100,259,True,2020-06-11 13:51:43,R_3PuffVx9qcPedeF,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,1,1,1,2,2,2,4,,,,,,,18 - 24,Female,Urban area,No
2020-06-11 14:11:30,2020-06-11 14:12:49,IP Address,138.246.2.10,100,79,True,2020-06-11 14:12:50,R_2CCI4d9B0MzLUlK,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,2,2,1,1,1,1,1,,,,,,,18 - 24,Female,Urban area,No
2020-06-11 14:33:50,2020-06-11 14:34:42,IP Address,79.249.154.65,100,52,True,2020-06-11 14:34:42,R_9GH1aTBpwxesXpn,,,,,50.7322998046875,7.1846923828125,anonymous,EN,2,4,1,1,2,1,2,,,,,,,18 - 24,Female,Urban area,No
2020-06-11 14:47:54,2020-06-11 14:49:23,IP Address,62.216.202.192,100,89,True,2020-06-11 14:49:24,R_3Rt53VzF0dHAaae,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,2,3,2,1,2,1,3,,,,,,,18 - 24,Male,Urban area,No
2020-06-11 15:25:19,2020-06-11 15:26:25,IP Address,79.253.197.43,100,66,True,2020-06-11 15:26:26,R_suvHkEK1D62Nexz,,,,,47.9062957763671875,12.6020050048828125,anonymous,EN,1,2,1,1,1,1,1,,,,,,,18 - 24,Male,Urban area,No
2020-06-11 16:32:18,2020-06-11 16:35:24,IP Address,188.192.65.141,100,185,True,2020-06-11 16:35:24,R_2wTEHqYqsSoq4r4,,,,,47.859405517578125,12.0117034912109375,anonymous,EN,1,2,1,1,1,2,4,,,,,,,25 - 34,Female,Urban area,No
